indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA18976	0.0129	-0.0195	0.0025	-4e-04	-0.0045	-0.0058	7e-04	0.0087	0.0089	-0.0147	-0.0117	0.0055	0.0032	0.0033	-0.0023	0.0121	0.0083	0.0026	0.0057	0.0066
NA18977	0.0104	-0.0081	-0.0028	0.0099	0.0171	0.0257	-0.0042	-0.0018	-2e-04	0.0039	0.0102	-0.0153	-0.0043	0.0028	5e-04	0.0069	0.0018	0.0035	-0.012	-0.0013
NA18978	0.0085	-0.0066	-0.0036	0.0085	0.0154	0.0048	-0.0142	-0.0019	0.0302	0.0021	0.0208	-0.0094	-0.0031	-0.0029	-0.0161	-0.0079	-0.0035	-0.006	-0.0196	-0.0165
NA18979	0.0123	-0.0254	8e-04	0.0017	0.0011	0.0012	-0.0062	0.0063	0.0168	-0.0016	0.0037	0.0077	0.0049	-0.0044	-0.0037	-0.0171	-0.0065	-0.0052	-0.0044	-0.002
NA18980	0.0104	-0.0222	-0.0121	0.0098	0.0286	-0.0064	8e-04	-4e-04	0.0103	-0.0047	-0.009	0.0022	0.0075	-8e-04	-0.0021	-0.0031	0.0052	-0.004	-0.0012	-0.001
NA18981	0.0099	-0.0231	0.0057	0.0029	0.0027	-0.0097	-0.0105	0.0022	0.0213	0.0086	0.0187	-0.0086	-0.0052	5e-04	-0.007	-0.0081	-0.0093	0.0024	-0.0054	-0.0126
NA18982	0.0138	-0.0258	0.0013	0.0039	0.0013	0.0131	-0.0056	-0.0056	0.0029	-0.0111	-0.0066	0.0071	0.0012	-0.0016	-0.0095	-0.0024	0.004	0.0037	-0.0012	-0.005
NA18983	0.0136	-0.0246	0.0012	0.0045	0.0012	0.0249	0.0024	0	-0.0298	0.0037	-0.0014	-0.0098	-0.0061	0.0081	0.0077	0.0118	0.008	0.0043	0.0045	0.0162
NA18984	0.0148	-0.0254	-4e-04	0.0049	0.007	0.0175	0.0023	0.0087	-0.0107	0.0032	-0.0021	-0.0106	1e-04	0.0045	0.0044	0.0103	0.0071	-0.0034	0.0027	0.0148
NA18985	0.0144	-0.0262	7e-04	0.0043	0.0053	0.0166	0.0021	0.0167	-0.0031	0.0085	0.0057	-0.0066	3e-04	0.0053	0.0097	-0.0046	-0.0115	0.0047	-0.0048	-0.0036
