indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01848	-0.0071	0.0279	-0.0051	0.0186	0.0012	0.0056	0.0018	0.0129	-0.0138	-0.0012	-0.0226	0.0015	0.0046	0.0061	-0.0087	-0.0075	0.0023	0.009	-0.0092	-0.0077
HG01849	-0.0063	0.028	8e-04	0.0121	-0.0023	-0.0029	0.002	0.004	-0.0022	-0.0048	-0.0077	0.0028	0.0057	-0.0016	-0.0037	0.0033	-0.0058	-0.002	0.0029	-0.0017
HG01850	-0.0098	0.0256	0.0052	0.0074	-0.0013	-0.0018	0.0025	0.0029	-0.0017	0.0063	-0.0013	-0.0073	-0.0017	-0.0043	0.0023	0.0029	0.001	0.0081	-0.003	0.0016
HG01851	-0.0094	0.0302	3e-04	0.0028	-0.0023	-0.0069	0.0031	0	-0.0019	0.006	3e-04	-0.0077	-0.002	-0.0028	0.0026	0.0024	6e-04	0.0049	-0.003	0.0036
HG01852	-0.0092	0.0329	-8e-04	0.0177	0.0047	-0.0017	0.0026	-0.0077	-0.0029	0.0037	0.0124	-0.0028	-0.0052	-0.0012	-0.0015	0.0017	0.0044	0.0031	-0.007	9e-04
HG01853	-0.0077	0.0267	0.0082	0.0049	0.0011	-0.0065	0.0092	0.0011	-0.0044	0.0027	-0.0081	-0.0018	0.001	0.0051	5e-04	0.0023	-0.0027	0.0072	-1e-04	0.0014
HG01855	-0.0107	0.0302	0.0035	0.0145	9e-04	-0.0019	-6e-04	5e-04	-0.0023	8e-04	-7e-04	-0.0018	-0.0021	-0.0029	0	5e-04	-0.0026	-0.0019	-0.0037	0.0024
HG01857	-0.009	0.0317	0.0061	0.0134	-0.0024	-0.0013	0.0017	-5e-04	-0.0015	-0.0039	0.0027	-0.002	0.0031	-0.0021	0.0011	0.0025	-0.0034	-0.0047	0.005	0.0019
HG01858	-0.0081	0.0296	0.009	0.0084	-2e-04	-0.0038	2e-04	-0.0035	-0.0031	0.0028	0.0066	-0.005	-0.0056	-0.0038	0.0014	0.0019	-2e-04	0.0051	-0.0022	0.0028
HG01859	-0.0091	0.0313	0.0095	0.0118	-0.0014	-0.0064	0.0107	6e-04	-0.0083	0.004	0.0023	0.0034	-0.0068	-0.0086	-2e-04	0.005	-0.0107	0.0029	0.0069	0.0089
HG01860	-0.0093	0.0273	0.0067	0.0124	3e-04	0.0056	0.0021	-0.0088	0.0011	-0.0024	0.0107	-0.0033	0.0022	-6e-04	0.0017	-0.0012	0.0039	-0.0043	-7e-04	0
HG01861	-0.0078	0.0275	0.0103	0.0054	0.0015	-0.004	-2e-04	-0.0039	0.0039	-0.0064	6e-04	-0.0034	0.0029	0.0048	0.0013	0.0054	-6e-04	-0.0045	0.0051	0.005
HG01862	-0.0077	0.033	0.0048	0.0149	0.0061	-0.0031	-0.0033	-2e-04	0.0091	-0.0092	0.0062	0.0089	0.0035	0.0089	8e-04	8e-04	5e-04	-0.0016	0.0156	-0.0082
HG01863	-0.0089	0.0245	-0.0027	0.0068	-0.0021	-0.0041	0.0016	-0.0043	4e-04	7e-04	0.0056	-0.0055	6e-04	3e-04	0.0033	0.0021	0.0013	0.0052	-0.0043	0.0046
HG01864	-0.0077	0.028	0.0038	0.0173	-0.0022	-0.007	-0.0023	0.0041	0.0054	-0.0105	-0.0011	2e-04	0.0036	3e-04	0.0032	0.0018	-0.0078	-0.0109	0.0012	0.0014
