ID1	ID2	IBD_CM_SUM
HG02574	HG02702	5.747742
HG00732	HG01303	27.69229
HG02775	HG03016	51.62968
HG03727	HG03882	6.782455
HG00732	HG01069	50.0038
HG01104	HG01303	49.2187
HG03692	HG03849	112.1706
HG00732	HG01054	67.3966
NA19351	NA19439	18.2454
HG01124	HG01176	5.128357
HG00640	HG01069	22.37523
HG02808	NA20289	5.073608
HG00640	HG01070	35.35499
HG03692	HG03896	609.642
HG00640	HG01097	28.33177
HG02775	HG02792	27.44352
NA21103	NA21119	17.63288
HG01104	HG01170	49.99968
HG00640	HG01054	73.81305
HG00732	HG01079	56.06706
HG02684	HG02774	10.18115
HG00640	HG01402	85.17212
HG01124	HG01437	36.17782
HG00732	HG00733	3368.493
HG00640	HG00731	68.50546
HG02775	HG03706	23.53335
HG02952	HG03120	13.31619
HG00732	HG01190	33.9877
NA20851	NA21103	5.303268
HG00640	HG01190	70.58447
HG00640	HG01325	22.01305
HG02684	HG02786	19.35818
HG00732	HG01241	14.39513
HG03097	HG03388	15.17354
HG00640	HG01176	53.83128
HG02364	HG02371	9.586296
HG02783	HG02786	20.59538
HG00732	HG01085	7.073242
HG03727	HG04239	14.18759
HG00231	HG00254	5.138504
HG00640	HG01174	56.45419
HG02783	HG03705	33.97427
HG01241	HG01392	10.45195
HG01124	HG01447	15.89339
HG01198	HG01204	16.70848
HG01085	HG01182	54.3622
HG02186	HG02371	5.705227
HG01357	HG01369	19.33207
HG01137	HG01357	21.40193
HG00732	HG01055	24.66427
HG01357	HG01551	6.171734
HG02775	HG02793	44.50258
HG00274	HG00280	5.505844
HG01124	HG01253	18.27163
HG01357	HG01383	60.93242
HG00274	HG00315	13.58395
HG03752	HG03836	310.4857
HG02968	HG03372	7.625916
HG01357	HG01437	31.20523
HG00672	HG00698	171.6138
HG00178	HG00188	22.00654
HG02968	HG03267	7.226868
HG02968	HG03280	11.00029
HG01921	HG01947	10.30453
HG00178	HG00324	5.461296
HG01137	HG01459	18.40682
HG00178	HG00282	21.89341
NA19395	NA19448	11.63187
HG01849	HG02522	12.4556
HG00275	HG00282	17.19579
HG00732	HG01171	30.00526
HG01085	HG01303	38.99904
HG01357	HG01447	13.14377
HG01357	HG01474	59.82574
HG03567	HG03572	63.58988
HG00742	HG01107	61.31653
HG00732	HG01072	64.87847
HG00742	HG01061	22.45114
HG02775	HG02780	44.57874
HG03692	HG03894	151.5127
HG01124	HG01351	16.71784
HG00732	HG01168	53.83365
HG00280	HG00345	16.52597
HG01104	HG01403	35.46964
HG00732	HG01066	34.28142
HG03692	HG03913	11.49301
HG01104	HG01395	35.78257
HG01104	HG01188	5.182732
HG00732	HG01052	72.70679
HG03567	HG03583	88.70647
HG00732	HG00736	11.70799
NA18971	NA19012	6.431803
HG00732	HG01060	53.75052
HG00732	HG01188	30.96772
NA21103	NA21130	26.36914
HG01085	HG01170	28.11551
HG00640	HG01171	48.02196
HG03686	HG03687	5.473221
HG02186	HG02190	9.349045
HG01357	HG01459	22.12002
HG02775	HG02778	42.91555
HG02783	HG02793	94.28983
HG02586	HG02879	13.86887
HG02186	HG02386	10.22287
HG00280	HG00334	14.56928
HG02947	NA19149	5.621857
HG01509	HG01531	5.597839
HG01357	HG01375	21.35145
HG02952	HG03372	9.968414
HG00280	HG00323	27.16904
HG01104	HG01308	13.79908
HG01509	NA19676	5.085541
HG00732	HG01088	75.3265
NA19434	NA19445	13.39689
HG02284	HG02537	8.161118
HG01849	HG01862	14.0667
HG00350	HG00360	5.639238
HG01095	HG01392	21.40756
